Entity,Code,Year,Annual CO₂ emissions (ton),Carbon intensity of GDP (kg CO2e per 2021 PPP $),"GDP per capita, PPP (constant 2021 international $)",Life expectancy - Sex: all - Age: 0 - Variant: estimates,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Annual CO₂ emissions from flaring (ton),Annual CO₂ emissions from cement (ton),Annual CO₂ emissions from gas (ton),Annual CO₂ emissions from oil (ton),Annual CO₂ emissions from coal (ton),Share of annual CO₂ emissions embedded in trade (percentage),Annual CO₂ emissions (ton per capita),"GDP per capita (PPP, constant 2021 international $)","Population (historical, persons)"
Albania,ALB,1994,1923806.0,0.16177173,4517.5396,73.837,0.73081017,0.0,51502.0,98928.0,1604832.0,168544.0,23.330498,0.5884248,3399.7102,3269417.0
Albania,ALB,1995,2089065.1,0.12606117,5151.102,74.022,0.6493539,0.0,103177.0,51296.0,1773376.0,161216.0,21.897003,0.64109814,3666.6506,3258573.0
Albania,ALB,1996,2017508.0,0.11658829,5563.474,74.113,0.6486359,0.0,104900.0,43968.0,1755056.0,113584.0,49.991882,0.62159795,3965.6853,3245680.0
Albania,ALB,1997,1543009.0,0.101567544,4942.7207,73.383,0.50202,0.0,51761.0,36640.0,1410640.0,43968.0,44.32685,0.47776133,3526.9856,3229665.0
Albania,ALB,1998,1754709.0,0.11360372,5387.2593,74.357,0.6120127,0.0,43552.0,32907.0,1623405.0,54845.0,44.577206,0.5466155,3873.373,3210134.0
Albania,ALB,1999,2986196.0,0.16314846,6085.6597,74.568,0.992866,0.0,55050.0,29348.0,2791742.0,110056.0,26.877909,0.9365232,4432.0425,3188598.0
Albania,ALB,2000,3024926.0,0.15899475,6581.639,74.826,1.046446,0.0,93637.0,21957.0,2839801.0,69531.0,34.887657,0.9553966,4808.4795,3166147.0
Albania,ALB,2001,3220656.0,0.15539287,7232.5757,75.083,1.1238908,0.0,0.0,14656.0,3125392.0,80608.0,39.3884,1.0230986,5285.809,3147943.0
Albania,ALB,2002,3748272.0,0.17300783,7590.0547,75.299,1.313139,0.0,0.0,25648.0,3638352.0,84272.0,36.671688,1.1959662,5608.9624,3134095.0
Albania,ALB,2003,4303499.0,0.17264412,8024.8213,75.557,1.3854382,0.0,302411.0,25648.0,3891168.0,84272.0,37.816578,1.3801702,6004.645,3118093.0
