Entity,Code,Year,Annual CO₂ emissions,Life expectancy - Sex: all - Age: 0 - Variant: estimates,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Annual CO₂ emissions from flaring,Annual CO₂ emissions from cement,Annual CO₂ emissions from gas,Annual CO₂ emissions from oil,Annual CO₂ emissions from coal,Annual CO₂ emissions (per capita),GDP per capita,Population (historical)
Afghanistan,AFG,1949,14656.0,28.156,0.15357664,297436.0,0.0,0.0,0.0,14656.0,0.0019921463,1156.0,7356890.0
Afghanistan,AFG,1950,84272.0,28.156,0.15357664,297436.0,0.0,0.0,63203.996,21068.0,0.010837197,1156.0,7776180.0
Afghanistan,AFG,1951,91600.0,28.584,0.15357664,297436.0,0.0,0.0,65952.0,25648.0,0.011625335,1170.0,7879343.0
Afghanistan,AFG,1952,91600.0,29.014,0.15357664,297436.0,0.0,0.0,59892.0,31707.998,0.011467511,1189.0,7987784.0
Afghanistan,AFG,1953,106256.0,29.452,0.15357664,297436.0,0.0,0.0,68307.0,37949.0,0.013123366,1240.0,8096703.0
Afghanistan,AFG,1954,106256.0,29.698,0.15357664,297436.0,0.0,0.0,63754.0,42502.0,0.012945492,1245.0,8207954.0
Afghanistan,AFG,1955,153888.0,30.366,0.15357664,297436.0,0.0,0.0,91600.0,62288.0,0.018480647,1246.0,8326981.0
Afghanistan,AFG,1956,183200.0,30.83,0.15357664,297436.0,0.0,0.0,120912.0,62288.0,0.021669438,1278.0,8454303.0
Afghanistan,AFG,1957,293120.0,31.345,0.15357664,297436.0,0.0,0.0,216176.0,76944.0,0.034129996,1253.0,8588340.0
Afghanistan,AFG,1958,329760.0,31.84,0.15357664,297436.0,0.0,0.0,238160.0,91600.0,0.037801724,1298.0,8723412.0
Afghanistan,AFG,1959,384571.0,32.337,0.15357664,297436.0,18171.0,0.0,256480.02,109920.0,0.04335994,1307.0,8869270.0
Afghanistan,AFG,1960,413885.0,32.799,0.15357664,297436.0,18012.0,0.0,268758.0,127115.0,0.045808833,1326.0,9035048.0
Afghanistan,AFG,1961,490798.0,33.291,0.15357664,297436.0,21806.0,0.0,293120.0,175872.0,0.05326608,1309.0,9214082.0
Afghanistan,AFG,1962,688594.0,33.757,0.15357664,297436.0,29074.0,0.0,362736.0,296784.0,0.07322033,1302.0,9404410.0
Afghanistan,AFG,1963,706736.0,34.201,0.15357664,297436.0,50880.0,0.0,392048.0,263808.0,0.07358391,1298.0,9604491.0
Afghanistan,AFG,1964,838551.0,34.673,0.15357664,297436.0,61783.0,0.0,476320.0,300448.0,0.085441604,1291.0,9814317.0
Afghanistan,AFG,1965,1006917.0,35.124,0.15357664,297436.0,83589.0,0.0,542272.0,381056.0,0.10033048,1290.0,10036003.0
Afghanistan,AFG,1966,1091159.0,35.583,0.15357664,297436.0,87223.0,0.0,575248.0,428688.0,0.106284514,1272.0,10266397.0
Afghanistan,AFG,1967,1281865.0,36.042,0.15357664,297436.0,65417.0,260144.0,556928.0,399376.0,0.122013114,1277.0,10505961.0
Afghanistan,AFG,1968,1223391.0,36.51,0.15357664,297436.0,47105.0,347041.0,496817.0,332429.0,0.11373056,1290.0,10756924.0
Afghanistan,AFG,1969,941232.0,36.979,0.15357664,297436.0,50880.0,0.0,527616.0,362736.0,0.08543128,1278.0,11017417.0
Afghanistan,AFG,1970,1670397.0,37.46,0.15357664,297436.0,47350.0,216651.0,671986.0,436974.0,0.14795192,1272.0,11290134.0
Afghanistan,AFG,1971,1893554.0,37.932,0.14987464,304112.0,43234.0,439680.0,747456.0,359072.0,0.1636936,1237.0,11567672.0
Afghanistan,AFG,1972,1530347.0,38.423,0.14287527,366400.0,46427.0,300448.0,626544.0,190528.0,0.12910292,1007.0,11853698.0
